3.4931e+05,2162.4,1026.6,3208,972,5,2,714.3,511.25,1,1016.1,418.61,1,1
3.6072e+05,3002.4,4378.2,3032,2560,2,5,1093.8,336.73,1,1244.5,765.49,1,1
3.778e+05,582.4,2173,4240,1232,4,3,1093.8,336.73,1,1380.8,375.12,1,1
3.9051e+05,1350.3,5557.1,4808,5096,7,11,640.95,358.7,4,1527,1310.2,2,0
4.1176e+05,1567.8,5355.1,3344,4128,5,4,640.95,358.7,1,1015,1308.2,1,1
4.3016e+05,2943.9,8963.3,2832,5428,4,8,883.85,419.24,2,1401,1558.1,2,0
4.5428e+05,692.7,1499.8,10000,4016,10,6,883.85,419.24,4,3165.5,1439.5,1,1
4.7421e+05,1267.8,5384.1,2152,6180,6,14,483.28,429.95,5,692.26,1627.1,1,1
4.9301e+05,1169.7,981.6,6968,2640,8,5,483.28,429.95,2,1751.7,892.55,2,0
5.0866e+05,1835.5,3605,2384,3092,6,6,1427.9,309.02,1,990.92,884.91,1,1
5.2382e+05,48.6,3190.2,10010,2460,8,5,1427.9,309.02,2,3442,765.88,2,0
5.436e+05,1247.5,9697.7,2488,4955.9,6,11,590.85,379.42,4,831.38,1383.1,1,1
5.6657e+05,1686.8,1479.5,6328,5544,6,4,590.85,379.42,2,2352.5,2154.2,2,0
5.8594e+05,1537.5,9779.5,2616,5460,6,11,590.03,468.27,3,1186.4,1452.2,2,0
6.0949e+05,2291.4,1798.5,6848,3947.9,7,4,590.03,468.27,2,3221.4,1360.4,1,1
6.2841e+05,4070.9,8997.8,5360,4980,6,10,594.85,397.72,4,2177.4,1173,2,0
6.564e+05,1481.7,1050.5,7224,2892,11,6,594.85,397.72,4,1908.4,743.33,1,1
6.7308e+05,1201.3,4739.8,1872,4527.9,6,10,563.97,369.33,3,580.27,1276,2,0
6.8959e+05,4322.1,1201,6680,1840,7,3,563.97,369.33,2,1839.1,749.8,1,1
7.076e+05,1241.5,19630,1992,4884,5,10,638.9,433.87,3,703.06,1393.6,1,1
7.3993e+05,1581.1,1058.3,5824,1936,7,4,638.9,433.87,2,1872.8,677.28,1,1
7.5409e+05,975.5,4754.3,3504,5108,5,10,685.9,385.68,4,1034.6,1355.8,1,1
7.7261e+05,813.1,1000.6,6936,1800,9,5,685.9,385.68,3,1794.4,563.63,1,1
7.8717e+05,1833.9,4453.9,2864,5039.9,4,9,1189,379.67,2,592.16,1655,1,1
8.059e+05,724.1,1051.8,7712,1956,10,4,1189,379.67,2,2148,635.56,1,1
8.2123e+05,1348.1,5868,6648,3628,5,3,2723.8,388.2,1,2253.3,1743.2,1,1
8.4268e+05,838.2,1848.1,5679.9,3172,6,4,2723.8,388.2,2,2053.1,936.47,1,1
8.5815e+05,969.7,5483.8,784,3480,3,5,2105.7,324.77,1,222.04,1424.9,1,1
8.7298e+05,413.7,977.6,6152,1884,11,5,2105.7,324.77,3,1912.4,600.63,1,1
8.8624e+05,913.3,5652.5,711.9,3832,3,5,2128.6,429.13,1,245.32,1492.9,1,1
9.0148e+05,857.4,1687.3,3103.9,1852,5,2,2128.6,429.13,1,1038.8,902.27,1,1
9.1286e+05,1002.4,6671.4,1512,4132,2,7,754.23,501.77,3,543.06,1126.8,2,0
9.2979e+05,5974.5,1782.5,10006,2356,16,5,754.23,501.77,4,3537.2,591.95,2,0
9.5378e+05,2521.5,5365.3,6320,5499.9,8,11,782.3,353.78,4,1730.1,1683.3,1,1
9.7733e+05,145.6,751.4,6464,2324,10,4,782.3,353.78,2,1948.4,881.37,2,0
9.9092e+05,2304.9,5898.9,2832,5416,6,11,682.83,386.78,4,926.77,1600.8,1,1
1.0113e+06,724.8,1221.9,6792,2083.9,10,5,682.83,386.78,3,2208.3,661.39,1,1
1.0267e+06,1939.7,4823.1,2328,4072,3,7,2176.7,301.46,1,322.13,1450.5,1,1
1.0439e+06,788,1007.8,2736,1544,5,3,2176.7,301.46,1,1008.2,647.91,1,1
1.0541e+06,1463.4,2867.6,512,3788,2,5,2120.3,402.57,1,220.62,1190.5,1,1
1.0668e+06,1016.6,1771.1,4791.9,2219.9,6,3,2120.3,402.57,2,1662,534.1,1,1
1.0805e+06,1382.7,4513.9,1672,4192,5,9,700.57,345.26,3,3740.9,1303.4,1,1
1.0959e+06,540.5,1068.8,4632,3232,7,4,700.57,345.26,2,1666.3,1466.4,1,1
1.1099e+06,710.8,10455,2079.9,5720,5,10,786.62,425.9,4,670.39,1461,1,1
1.1325e+06,916.4,1084.7,7600,2524,12,6,786.62,425.9,4,2293.2,795.68,1,1
1.1486e+06,798.3,5745.2,2760,4900,4,8,962.63,427.02,3,1069.4,1593.4,2,0
