TimeOfDay	Time	Pulse	Skin Conductance	Heart Rate
21:22:32.640	3.97	-0.220243	236.402	122.449
21:22:32.650	3.98	-0.22832	236.233	122.449
21:22:32.660	3.99	-0.2203	236.068	122.449
21:22:32.670	4	-0.23677	235.906	122.449
21:22:32.680	4.01	-0.25244	235.748	122.449
21:22:32.689	4.02	-0.212816	235.593	122.449
21:22:32.700	4.03	-0.150642	235.44	122.449
21:22:32.710	4.04	-0.103683	235.29	122.449
21:22:32.720	4.05	-0.0462488	235.143	122.449
21:22:32.729	4.06	0.010144	234.998	122.449
21:22:32.740	4.07	0.0490525	234.855	122.449
21:22:32.750	4.08	0.0639766	234.713	122.449
21:22:32.760	4.09	0.0741645	234.574	122.449
21:22:32.770	4.1	0.0726488	234.436	122.449
21:22:32.780	4.11	0.0506762	234.299	122.449
21:22:32.790	4.12	0.0506835	234.163	122.449
21:22:32.800	4.13	0.0717855	234.029	122.449
21:22:32.810	4.14	0.100684	233.895	122.449
21:22:32.820	4.15	0.118413	233.762	122.449
21:22:32.830	4.16	0.132377	233.63	122.449
21:22:32.840	4.17	0.159182	233.499	315.789
21:22:32.850	4.18	0.150856	233.367	315.789
21:22:32.860	4.19	0.0981149	233.237	315.789
21:22:32.870	4.2	0.0445922	233.106	315.789
21:22:32.880	4.21	-0.0087855	232.976	315.789
21:22:32.890	4.22	-0.0147197	232.846	315.789
21:22:32.900	4.23	-0.0291732	232.716	315.789
21:22:32.910	4.24	-0.064277	232.585	315.789
21:22:32.920	4.25	-0.0855621	232.455	315.789
21:22:32.930	4.26	-0.0925014	232.325	315.789
21:22:32.940	4.27	-0.0781936	232.194	315.789
21:22:32.950	4.28	-0.0496683	232.063	315.789
21:22:32.960	4.29	-0.0232311	231.932	315.789
21:22:32.970	4.3	0.0573441	231.8	315.789
21:22:32.980	4.31	0.0628544	231.669	315.789
21:22:32.990	4.32	0.133786	231.537	315.789
21:22:33.000	4.33	0.199127	231.404	315.789
21:22:33.010	4.34	0.257041	231.271	315.789
21:22:33.020	4.35	0.285802	231.138	315.789
21:22:33.030	4.36	0.313674	231.005	260.87
21:22:33.040	4.37	0.252456	230.872	260.87
21:22:33.050	4.38	0.246295	230.738	260.87
21:22:33.060	4.39	0.147002	230.604	260.87
21:22:33.070	4.4	0.0371053	230.47	260.87
21:22:33.080	4.41	-0.0757721	230.336	260.87
21:22:33.090	4.42	-0.123059	230.201	260.87
21:22:33.100	4.43	-0.163613	230.067	260.87
21:22:33.110	4.44	-0.179406	229.932	260.87
21:22:33.120	4.45	-0.206622	229.798	260.87
21:22:33.130	4.46	-0.202772	229.664	260.87
21:22:33.140	4.47	-0.190396	229.529	260.87
21:22:33.150	4.48	-0.18758	229.395	260.87
21:22:33.160	4.49	-0.187234	229.261	260.87
21:22:33.170	4.5	-0.175319	229.128	260.87
21:22:33.180	4.51	-0.139377	228.994	260.87
21:22:33.190	4.52	-0.119633	228.861	260.87
21:22:33.200	4.53	-0.0848632	228.728	260.87
21:22:33.210	4.54	-0.0298832	228.596	260.87
21:22:33.220	4.55	0.0325876	228.464	260.87
21:22:33.230	4.56	0.0758525	228.333	260.87
21:22:33.240	4.57	0.0863476	228.202	260.87
21:22:33.250	4.58	0.144173	228.072	260.87
21:22:33.260	4.59	0.200539	227.943	107.143
21:22:33.270	4.6	0.193032	227.814	107.143
21:22:33.280	4.61	0.146683	227.686	107.143
21:22:33.290	4.62	0.0728095	227.559	107.143
21:22:33.300	4.63	0.0512254	227.433	107.143
21:22:33.310	4.64	0.0601652	227.308	107.143
21:22:33.320	4.65	0.04281	227.184	107.143
21:22:33.330	4.66	0.0140963	227.062	107.143
21:22:33.340	4.67	0.000726888	226.94	107.143
21:22:33.350	4.68	-0.0220758	226.82	107.143
21:22:33.360	4.69	-0.0409487	226.701	107.143
21:22:33.370	4.7	-0.0556633	226.583	107.143
21:22:33.380	4.71	-0.0566218	226.467	107.143
21:22:33.390	4.72	-0.0530508	226.352	107.143
21:22:33.400	4.73	-0.0426654	226.239	107.143
21:22:33.410	4.74	-0.0344784	226.128	107.143
21:22:33.420	4.75	-0.018949	226.018	107.143
21:22:33.430	4.76	0.00852877	225.91	107.143
21:22:33.440	4.77	0.0221133	225.803	107.143
21:22:33.450	4.78	0.025733	225.698	107.143
21:22:33.460	4.79	-0.014016	225.595	107.143
21:22:33.470	4.8	-0.07254	225.494	107.143
21:22:33.480	4.81	-0.110965	225.395	107.143
21:22:33.490	4.82	-0.123392	225.298	107.143
21:22:33.500	4.83	-0.136737	225.202	107.143
21:22:33.510	4.84	-0.129569	225.109	107.143
21:22:33.520	4.85	-0.116655	225.017	107.143
21:22:33.530	4.86	-0.117734	224.927	107.143
21:22:33.540	4.87	-0.13998	224.839	107.143
21:22:33.550	4.88	-0.170367	224.753	107.143
21:22:33.560	4.89	-0.213668	224.669	107.143
21:22:33.570	4.9	-0.263173	224.587	107.143
21:22:33.580	4.91	-0.289856	224.507	107.143
21:22:33.590	4.92	-0.298075	224.429	107.143
21:22:33.600	4.93	-0.295166	224.353	107.143
21:22:33.610	4.94	-0.271599	224.278	107.143
21:22:33.620	4.95	-0.222774	224.206	107.143
21:22:33.630	4.96	-0.209903	224.135	107.143
21:22:33.640	4.97	-0.267685	224.066	107.143
21:22:33.650	4.98	-0.304785	223.998	107.143
21:22:33.660	4.99	-0.234087	223.932	107.143
21:22:33.670	5	-0.158133	223.868	107.143
21:22:33.680	5.01	-0.118535	223.806	107.143
21:22:33.690	5.02	-0.0265604	223.745	107.143
21:22:33.700	5.03	0.0205616	223.685	107.143
21:22:33.710	5.04	-0.0012934	223.627	107.143
21:22:33.720	5.05	-0.044177	223.57	107.143
21:22:33.730	5.06	-0.0798596	223.515	107.143
21:22:33.740	5.07	-0.0613487	223.461	107.143
21:22:33.750	5.08	0.00218913	223.408	107.143
21:22:33.760	5.09	0.0602871	223.356	107.143
21:22:33.770	5.1	0.111534	223.306	107.143
21:22:33.780	5.11	0.1654	223.257	107.143
21:22:33.790	5.12	0.22424	223.209	107.143
21:22:33.800	5.13	0.274081	223.162	107.143
21:22:33.810	5.14	0.291837	223.117	107.143
21:22:33.820	5.15	0.325619	223.072	193.548
21:22:33.830	5.16	0.287251	223.028	193.548
21:22:33.840	5.17	0.269819	222.986	193.548
21:22:33.850	5.18	0.267741	222.944	193.548
21:22:33.860	5.19	0.265472	222.903	193.548
21:22:33.870	5.2	0.228447	222.863	193.548
21:22:33.880	5.21	0.182382	222.824	193.548
